key,target,source
ftbquests.chapter_groups.chapter_groups.0.title,&b&l&o工具,&b&l&oTools
ftbquests.chapter_groups.chapter_groups.1.title,&b&l&o农业和食物,&b&l&oAgriculture and Food
ftbquests.chapter_groups.chapter_groups.2.title,&b&l&o储存,&b&l&oStorage
ftbquests.chapter_groups.chapter_groups.3.title,&b&l&o能源,&b&l&oEnergy
ftbquests.chapter_groups.chapter_groups.4.title,&b&l&o技术,&b&l&oTechnology
ftbquests.chapter_groups.chapter_groups.5.title,&b&l&o魔法,&b&l&oMagic
ftbquests.chapter_groups.chapter_groups.6.title,&b&l&o冒险,&b&l&oJourney Through Dimensions
ftbquests.chapter_groups.chapter_groups.7.title,&b&l&o挑战,&b&l&oChallenges
ftbquests.chapter.3blue_skies.quests.0.subtitle,❄ 永昼之地,❄ Everbright
ftbquests.chapter.3blue_skies.quests.0.description.0,永昼之地是一个永昼却很寒冷的维度，这里生活着许多厚皮目哺乳动物和类似于魂灵的奇异生物。在这个维度，你要时刻注意你的身后。暴风雪带来的浓雾会隐藏怪物的行踪，它们的数量远超过你之前所遇到的。随着您的探索，您将遇到召唤师所在的惑乱高塔和以及星熠破灭之树所在的自然城堡,"The Everbright is a realm of eternal day and frigid cold. Home to large beasts and ethereal mobs, you’ll need to keep an eye on your back as you traverse through this world. Be sure to watch out for snow storms that bring thick fog and more enemies than usual. As you explore, you’ll encounter the Summoner’s Blinding Dungeon and the Nature Dungeon, home of the Starlit Crusher."
ftbquests.chapter.3blue_skies.quests.0.tasks.0.title,访问维度: &2永昼之地,Visit Dimension: &2The Everbright
ftbquests.chapter.3blue_skies.quests.1.subtitle,🌅 恒晓之地,🌅 Everdawn
ftbquests.chapter.3blue_skies.quests.1.description.0,恒晓之地是一个永远处在黎明之时且炎热潮湿的维度，这里生活着许多爬行类动物和体型巨大的昆虫。在来到这个维度之前你需要准备好药水和光源（曲逸：这里的雨有那么一点小，如果你在森林点了把火记得自己灭了，这里的雨是没办法扑灭火的），因为这里的大部分生物会使你着火或中毒。穿越这个再也无法被照亮的维度，寻找惑乱高塔，诛杀炼金术士，最终进入幽咽蛛王所在的猛毒地牢，拯救这个世界（曲逸:也许吧，听说模组要更新新boss了）,"The Everdawn has its sun forever rising. With this being a much more humid and warm world, insects and reptiles flourish. Before entering, it’s worth preparing for poison and fire as many parts of this world may inflict those on you. Venture across this diverse landscape to uncover the Alchemist’s Blinding Dungeon and then the Poison Dungeon, lair of the Arachnarch."
ftbquests.chapter.3blue_skies.quests.1.tasks.0.title,访问维度: &2恒晓之地,Visit Dimension: &2The Everdawn
ftbquests.chapter.3blue_skies.quests.10.title,&9&l永昼之地:惑乱高塔,&9&lThe Summoner's Blinding Dungeon
ftbquests.chapter.3blue_skies.quests.13.title,&c榴石工具组,&cPyrope Tool Set
ftbquests.chapter.3blue_skies.quests.14.title,&c榴石套装,&cPyrope Armor Set
ftbquests.chapter.3blue_skies.quests.15.title,&5天闪工具组,&5Aquite Tool Set
ftbquests.chapter.3blue_skies.quests.16.title,&2透辉工具组,&2Diopside Tool Set
ftbquests.chapter.3blue_skies.quests.17.title,&9绛紫晶工具组,&9Charoite Tool Set
ftbquests.chapter.3blue_skies.quests.18.title,&5天闪套装,&5Aquite Armor Set
